gender,pf_o_att,pf_o_sin,pf_o_int,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,imprelig,date,go_out,tvsports,exercise,dining,museums,art,hiking,gaming,reading,tv,theater,concerts,music,attr1_1,sinc1_1,intel1_1,shar1_1,intel3_1,dec,attr,sinc,intel,fun,match_es,length,numdat_2,race_o_1.0,race_o_4.0,field_cd_2.0,field_cd_3.0,field_cd_4.0,field_cd_6.0,field_cd_7.0,field_cd_9.0,field_cd_11.0,field_cd_15.0,race_2.0,race_3.0,race_6.0,goal_5.0,career_c_1.0,career_c_3.0,career_c_4.0,career_c_5.0,career_c_7.0,career_c_10.0,career_c_11.0,subject_attractiveness_mean,subject_sincerity_mean,subject_intelligence_mean,subject_fun_mean,subject_ambition_mean,subject_shared_interest_mean,age_difference,attractiveness_difference,fun_difference,ambition_difference,shared_interest_difference
False,25,25,25,-0.09373388356127463,0.477190091249148,0.4057131050506314,0.3068505820891273,0.12956178214776334,-0.2157117218421814,7,4,2,6,7,8,6,8,8,4,7,4,7,7,7,16,19,16,17,7,True,7,6,7,7,3,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.357142857142857,7.714285714285714,8.071428571428571,6.357142857142857,6.785714285714286,5.285714285714286,-0.21349751999992042,-0.6871217655335881,-1.210466535080101,-1.270431363935891,-0.08784740361196283
False,25,20,15,-0.09373388356127463,0.477190091249148,0.4057131050506314,-0.7202154555403328,-0.9840283816111056,-1.1512069540213368,7,4,2,6,7,8,6,8,8,4,7,4,7,7,7,16,19,16,17,7,False,6,6,6,5,3,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.357142857142857,7.714285714285714,8.071428571428571,6.357142857142857,6.785714285714286,5.285714285714286,0.11394504728834864,-1.2618215649656623,-1.210466535080101,-0.6307692171079563,1.0924570513329173
False,30,15,20,1.9584689906580501,1.0534272694389366,1.055675539486075,-0.20668243672560274,0.12956178214776334,0.2520358942473963,7,4,2,6,7,8,6,8,8,4,7,4,7,7,7,16,19,16,17,7,False,6,8,8,8,3,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.357142857142857,7.714285714285714,8.071428571428571,6.357142857142857,6.785714285714286,5.285714285714286,-0.5409400872881895,1.0369776327626348,0.020659965856183935,-1.270431363935891,-0.6779996310844029
False,40,20,20,1.445418272103219,1.6296644476287252,1.7056379739215186,1.3339166197185874,0.6863568640271979,-0.2157117218421814,7,4,2,6,7,8,6,8,8,4,7,4,7,7,7,16,19,16,17,7,True,7,7,7,8,3,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.357142857142857,7.714285714285714,8.071428571428571,6.357142857142857,6.785714285714286,5.285714285714286,-0.8683826545764586,-0.11242196610151375,-0.5949032846119585,-0.6307692171079563,-0.08784740361196283
False,30,10,25,-0.6067846021161059,-1.2515214433202178,-1.5441741982556993,-0.7202154555403328,-0.9840283816111056,0.2520358942473963,7,4,2,6,7,8,6,8,8,4,7,4,7,7,7,16,19,16,17,7,True,9,7,8,8,3,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.357142857142857,7.714285714285714,8.071428571428571,6.357142857142857,6.785714285714286,5.285714285714286,-0.5409400872881895,1.0369776327626348,0.6362232163243264,0.648555076547913,-1.268151858556843
False,20,10,20,-0.6067846021161059,-0.09904708694064061,1.7056379739215186,-0.20668243672560274,1.2431519459066322,-0.2157117218421814,7,4,2,6,7,8,6,8,8,4,7,4,7,7,7,16,19,16,17,7,True,7,6,8,8,3,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.357142857142857,7.714285714285714,8.071428571428571,6.357142857142857,6.785714285714286,5.285714285714286,-0.8683826545764586,-0.11242196610151375,0.020659965856183935,0.008892929719978331,-0.6779996310844029
False,25,26,15,-0.6067846021161059,0.477190091249148,0.4057131050506314,-0.20668243672560274,1.2431519459066322,-0.2157117218421814,7,4,2,6,7,8,6,8,8,4,7,4,7,7,7,16,19,16,17,7,False,6,8,8,6,3,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.357142857142857,7.714285714285714,8.071428571428571,6.357142857142857,6.785714285714286,5.285714285714286,-0.21349751999992042,-0.6871217655335881,-1.210466535080101,0.648555076547913,-0.6779996310844029
False,16,16,20,0.41931683499355654,1.0534272694389366,1.055675539486075,0.3068505820891273,0.6863568640271979,-1.1512069540213368,7,4,2,6,7,8,6,8,8,4,7,4,7,7,7,16,19,16,17,7,False,6,7,8,6,3,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.357142857142857,7.714285714285714,8.071428571428571,6.357142857142857,6.785714285714286,5.285714285714286,0.11394504728834864,-0.6871217655335881,-0.5949032846119585,-0.6307692171079563,0.5023048238604773
False,15,20,20,-0.6067846021161059,-1.2515214433202178,-1.5441741982556993,-0.7202154555403328,-0.9840283816111056,-0.2157117218421814,7,4,2,6,7,8,6,8,8,4,7,4,7,7,7,16,19,16,17,7,False,6,6,8,7,3,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.357142857142857,7.714285714285714,8.071428571428571,6.357142857142857,6.785714285714286,5.285714285714286,-0.5409400872881895,-0.6871217655335881,0.020659965856183935,1.2882172233758478,-1.268151858556843
False,20,20,20,-1.119835320670937,-0.6752842651304293,-0.24424932938481214,0.3068505820891273,-0.4272332997316711,1.6552787425161295,7,4,2,6,7,8,6,8,8,4,7,4,7,7,7,16,19,16,17,7,False,6,6,8,5,3,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.357142857142857,7.714285714285714,8.071428571428571,6.357142857142857,6.785714285714286,5.285714285714286,0.44138761457661774,-0.11242196610151375,0.020659965856183935,-0.6307692171079563,-0.08784740361196283
